inputfile,table,encoding,check,result,expectedResult,time
./benchmarkTables/Table4_850.rt,Table4,UeUfFs,consistency,Unknown,Consistent,0.537
./benchmarkTables/Table4_850.rt,Table4,UeUfVs,consistency,Unknown,Consistent,0.531
./benchmarkTables/Table1_900.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.540
./benchmarkTables/Table1_900.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.539
./benchmarkTables/Table1_900.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.537
./benchmarkTables/Table1_900.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.531
./benchmarkTables/Table2_900.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.543
./benchmarkTables/Table2_900.rt,Table2,UeArVs,consistency,Unknown,Inconsistent,0.526
./benchmarkTables/Table2_900.rt,Table2,UeUfFs,consistency,Unknown,Inconsistent,0.529
./benchmarkTables/Table2_900.rt,Table2,UeUfVs,consistency,Unknown,Inconsistent,0.533
./benchmarkTables/Table3_900.rt,Table3,UeArFs,consistency,Unknown,Consistent,0.554
./benchmarkTables/Table3_900.rt,Table3,UeArVs,consistency,Unknown,Consistent,0.548
./benchmarkTables/Table3_900.rt,Table3,UeUfFs,consistency,Unknown,Consistent,0.539
./benchmarkTables/Table3_900.rt,Table3,UeUfVs,consistency,Unknown,Consistent,0.542
./benchmarkTables/Table4_900.rt,Table4,UeArFs,consistency,Unknown,Consistent,0.530
./benchmarkTables/Table4_900.rt,Table4,UeArVs,consistency,Unknown,Consistent,0.543
./benchmarkTables/Table4_900.rt,Table4,UeUfFs,consistency,Unknown,Consistent,0.540
./benchmarkTables/Table4_900.rt,Table4,UeUfVs,consistency,Unknown,Consistent,0.548
./benchmarkTables/Table1_950.rt,Table1,UeArFs,consistency,Unknown,Inconsistent,0.543
./benchmarkTables/Table1_950.rt,Table1,UeArVs,consistency,Unknown,Inconsistent,0.532
./benchmarkTables/Table1_950.rt,Table1,UeUfFs,consistency,Unknown,Inconsistent,0.545
./benchmarkTables/Table1_950.rt,Table1,UeUfVs,consistency,Unknown,Inconsistent,0.541
./benchmarkTables/Table2_950.rt,Table2,UeArFs,consistency,Unknown,Inconsistent,0.545
